code,type,name,abreviated_name
PO307796,ORGEXTPARL,Conseil d'orientation de l'Observatoire national de la délinquance et des réponses pénales,203
PO307800,ORGEXTPARL,Conseil d'administration de l'Institut national des hautes études de la sécurité et de la justice,202
PO308067,ORGEXTPARL,Conseil d'administration de l'Ecole nationale d'administration,204
PO309245,ORGEXTPARL,Conférence nationale des services d'incendie et de secours,205
PO309456,ORGEXTPARL,Conseil d'administration de l'Etablissement public du musée du quai Branly,208
PO309463,GROUPESENAT,UDI-UC,UCPOL
PO310693,DELEGSENAT,Délégation aux droits des femmes et à l'égalité des chances entre les hommes et les femmes,211DE
PO312799,ORGEXTPARL,Conseil de la Caisse nationale de solidarité pour l'autonomie,212
PO312834,ORGEXTPARL,Conseil d'orientation pour l'emploi,213
PO312952,ORGEXTPARL,Commission nationale d'agrément des associations représentant les usagers dans les instances hospitalières ou de santé publique,214
PO322336,ORGEXTPARL,Conférence de la ruralité,220
PO322345,ORGEXTPARL,Conseil d'administration du Centre national des oeuvres universitaires et scolaires,222
PO326044,ORGEXTPARL,Comité de suivi de l'Agence française de l'adoption,234
PO382559,ORGEXTPARL,Haut comité pour la transparence et l'information sur la sécurité nucléaire,233
PO382940,PRESREP,Présidence de la République : M. Nicolas Sarkozy,PRESI
PO394842,ORGEXTPARL,Conseil d'administration de l'Office français de protection des réfugiés et apatrides,196
PO394845,ORGEXTPARL,Conseil d'administration de l'Office franco-allemand pour la jeunesse,226
PO395066,API,Délégation française à l'Assemblée parlementaire de la coopération économique de la mer Noire,AE NOIRE
PO395489,ORGEXTPARL,Conseil de l'immobilier de l'Etat,236
PO402232,OFFPAR,Délégation parlementaire au renseignement,DPR
PO405191,DELEGSENAT,Délégation parlementaire au renseignement,RENSE
PO407326,ORGEXTPARL,Conseil d'administration de l'Institut des hautes études pour la science et la technologie,239
PO415287,COMNL,Commission des affaires européennes,DUE
PO415381,ORGEXTPARL,Commission nationale chargée de l'examen du respect des obligations de réalisation de logements sociaux,243
PO415444,ORGEXTPARL,Comité national de l'eau,245
PO418452,ORGEXTPARL,Conseil supérieur des archives,246
PO418736,API,Délégation française à l'Assemblée parlementaire de la Méditerranée,APM
PO418755,API,Assemblée parlementaire de l'Union pour la Méditerranée,APEM
PO419369,ORGEXTPARL,Comité de suivi de la mise en oeuvre des dispositions relatives au cinéma et autres arts et industries de l'image animée,249
PO419451,ORGEXTPARL,Conseil d'administration de la Société en charge de l'audiovisuel extérieur de la France,250
PO419604,COMPER,Commission des affaires culturelles et de l'éducation,CION-CEDU
PO419610,COMPER,Commission des affaires économiques,CION-ECO
PO419865,COMPER,Commission du développement durable et de l'aménagement du territoire,CION-DVP
PO420120,COMPER,Commission des affaires sociales,CION-SOC
PO420375,COMNL,Comité d'évaluation et de contrôle des politiques publiques,CEC
