code_organe,code_deputy
PO733387,PA1838
PO733412,PA1838
PO733032,PA1838
PO733212,PA1838
PO717460,PA1838
PO725343,PA1874
PO732735,PA1874
PO732748,PA1874
PO732768,PA1874
PO732768,PA1874
PO732758,PA1874
PO732781,PA1874
PO710396,PA1874
PO733047,PA1874
PO733462,PA1874
PO743166,PA1874
PO733006,PA1874
PO733217,PA1874
PO733622,PA1874
PO743840,PA1874
PO763346,PA1874
PO717436,PA1874
PO730934,PA1874
PO59048,PA1874
PO746659,PA1874
PO763264,PA1874
PO746634,PA1874
PO746654,PA1874
PO746806,PA1874
PO747104,PA1874
PO746992,PA1874
PO747084,PA1874
PO746852,PA1874
PO746669,PA1874
PO746649,PA1874
PO747002,PA1874
PO747057,PA1874
PO746618,PA1874
PO763249,PA1874
PO763244,PA1874
PO746920,PA1874
PO746679,PA1874
PO746679,PA1874
PO747281,PA1874
PO747225,PA1874
PO747104,PA1874
PO746753,PA1874
PO746904,PA1874
PO747062,PA1874
PO747215,PA1874
PO746899,PA1874
PO747027,PA1874
PO747022,PA1874
PO747256,PA1874
PO746612,PA1874
PO746639,PA1874
PO746962,PA1874
PO746832,PA1874
PO746915,PA1874
PO747190,PA1874
PO746880,PA1874
PO746987,PA1874
PO746674,PA1874
PO746837,PA1874
PO747160,PA1874
PO733267,PA1874
PO733612,PA1874
PO733637,PA1874
PO732979,PA1874
PO733447,PA1874
PO733472,PA1874
PO733072,PA1874
PO733252,PA1874
PO733277,PA1874
PO733647,PA1874
PO733457,PA1874
PO733482,PA1874
PO733082,PA1874
PO733102,PA1874
PO733287,PA1874
PO733657,PA1874
PO733678,PA1874
PO733492,PA1874
PO733092,PA1874
PO733112,PA1874
PO733297,PA1874
PO733317,PA1874
PO733667,PA1874
PO733693,PA1874
PO733502,PA1874
PO733122,PA1874
PO733307,PA1874
PO733327,PA1874
PO733703,PA1874
PO733512,PA1874
PO733132,PA1874
PO733152,PA1874
PO733527,PA1874
PO733337,PA1874
PO733142,PA1874
PO733162,PA1874
PO733537,PA1874
PO733347,PA1874
PO733367,PA1874
PO733172,PA1874
PO733547,PA1874
PO733357,PA1874
PO732934,PA1874
PO733377,PA1874
PO732990,PA1874
PO733182,PA1874
PO733202,PA1874
PO733557,PA1874
PO733577,PA1874
PO732924,PA1874
PO732944,PA1874
PO733387,PA1874
PO733011,PA1874
PO733192,PA1874
PO733212,PA1874
PO733567,PA1874
PO733587,PA1874
PO732954,PA1874
PO733402,PA1874
PO733422,PA1874
PO733022,PA1874
PO733227,PA1874
PO733597,PA1874
PO732964,PA1874
PO733412,PA1874
PO733432,PA1874
PO733032,PA1874
PO733057,PA1874
PO733237,PA1874
PO733262,PA1874
PO733387,PA1874
PO733607,PA1874
PO733632,PA1874
PO732974,PA1874
PO733442,PA1874
PO733042,PA1874
PO733067,PA1874
PO733247,PA1874
PO733272,PA1874
PO733617,PA1874
PO733642,PA1874
PO733452,PA1874
PO733477,PA1874
PO733077,PA1874
PO733282,PA1874
PO733652,PA1874
PO733467,PA1874
PO733487,PA1874
PO733087,PA1874
PO733107,PA1874
PO733292,PA1874
PO733312,PA1874
PO733662,PA1874
PO733683,PA1874
PO733497,PA1874
PO733097,PA1874
PO733117,PA1874
PO733302,PA1874
PO733322,PA1874
PO733672,PA1874
PO733698,PA1874
PO733507,PA1874
PO733127,PA1874
PO733522,PA1874
PO733332,PA1874
PO733517,PA1874
PO733137,PA1874
PO733157,PA1874
PO733532,PA1874
PO733342,PA1874
PO733362,PA1874
PO733147,PA1874
PO733167,PA1874
PO733542,PA1874
PO733352,PA1874
PO733372,PA1874
PO732984,PA1874
PO733177,PA1874
PO733552,PA1874
PO733572,PA1874
PO732919,PA1874
PO732939,PA1874
PO733382,PA1874
PO733001,PA1874
PO733187,PA1874
PO733207,PA1874
PO733562,PA1874
PO732929,PA1874
PO732949,PA1874
PO733397,PA1874
PO733417,PA1874
PO733017,PA1874
PO733197,PA1874
PO733222,PA1874
PO733592,PA1874
PO732959,PA1874
PO733407,PA1874
PO733427,PA1874
PO733027,PA1874
PO733052,PA1874
PO733232,PA1874
PO733602,PA1874
PO733627,PA1874
PO732969,PA1874
PO733437,PA1874
PO733037,PA1874
PO733062,PA1874
PO733242,PA1874
PO747215,PA1874
PO747027,PA1874
PO732984,PA1874
PO733507,PA1874
PO733312,PA1874
PO733167,PA1874
PO733547,PA1874
PO717460,PA1874
PO717460,PA1874
PO725343,PA2150
PO744856,PA2150
PO201115,PA2150
PO744155,PA2150
PO744155,PA2150
PO763346,PA2150
PO730958,PA2150
PO730958,PA2150
PO59047,PA2150
PO746634,PA2150
PO746634,PA2150
PO733117,PA2150
PO733232,PA2150
PO733317,PA2150
PO733562,PA2150
PO733082,PA2150
PO733397,PA2150
PO733117,PA2150
PO733082,PA2150
PO733317,PA2150
PO733562,PA2150
PO733397,PA2150
PO717460,PA2150
PO420375,PA2155
PO768830,PA2155
PO710396,PA2155
PO730934,PA2155
PO59046,PA2155
PO763249,PA2155
