code,date,type,titre,demandeur,nb votants,requis,pour,contre,abstentions,demandeur REP,demandeur LAREM,demandeur FI,demandeur PS,demandeur EELV,demandeur MODEM,demandeur ND,demandeur RPS,demandeur UDRL,demandeur PCF,demandeur CDP,demandeur GOV,demandeur COM SPE
VTANR5L15V1012,2018-07-11,scrutin public ordinaire,"l'amendement n° 907 de M. Pajot et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",196,92,37,145,14,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1013,2018-07-11,scrutin public ordinaire,"l'amendement n° 1402 de Mme Untermaier et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Nouvelle Gauche""",190,89,45,132,13,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1014,2018-07-11,scrutin public ordinaire,"l'amendement n° 1110 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",134,60,31,88,15,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1015,2018-07-11,scrutin public ordinaire,"l'amendement n° 2343 de M. Dharréville avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",133,59,29,87,17,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1016,2018-07-11,scrutin public ordinaire,"l'amendement n° 1529 de M. Latombe avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",138,63,35,89,14,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1017,2018-07-11,scrutin public ordinaire,"l'amendement n° 2376 de M. Serville avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",127,61,35,85,7,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1018,2018-07-11,scrutin public ordinaire,"l'amendement n° 1115 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",130,62,34,88,8,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1019,2018-07-11,scrutin public ordinaire,"l'amendement n° 1116 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",121,60,23,95,3,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V102,2017-07-28,scrutin public ordinaire,l'amendement n° 377 de M. Philippe Vigier après l'article 19 du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Président du groupe ""La France insoumise""Président du groupe ""Les Constructifs : républicains, UDI, indépendants""",191,90,54,124,13,0,0,1,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1020,2018-07-11,scrutin public ordinaire,"l'amendement n° 1209 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",105,51,20,81,4,0,0,1,0,0,0,0,0,0,0,0,0,0
